experiment_accession,peak_accession,biosample,target,n_peaks,authors_overlap_fraction,authors_percent_overlap
ENCSR882ERE,ENCFF329HLY,K562,ZKSCAN1,11622,0.727327,72.7327
ENCSR000BMW,ENCFF809CZV,K562,REST,10007,0.727191,72.7191
ENCSR017CEO,ENCFF869EBE,MCF-7,CUX1,9359,0.726787,72.67869999999999
ENCSR324RCI,ENCFF823LVL,liver,FOXA1,13952,0.726061,72.6061
ENCSR000DON,ENCFF059ELL,MCF 10A,FOS,75897,0.724653,72.4653
ENCSR907MZR,ENCFF263NDI,K562,TRIM24,24063,0.724639,72.46390000000001
ENCSR098XMN,ENCFF968WAS,liver,RXRA,61211,0.723073,72.3073
ENCSR851BNE,ENCFF023KAG,K562,MEIS2,42036,0.72288,72.288
ENCSR950NAZ,ENCFF856FOP,HepG2,LCORL,6518,0.722614,72.2614
ENCSR000BKY,ENCFF593ZQY,T47D,FOXA1,39311,0.722597,72.25970000000001
ENCSR000DOO,ENCFF379OVN,MCF 10A,FOS,95700,0.721714,72.17139999999999
ENCSR000BOX,ENCFF259FAH,PFSK-1,REST,15960,0.719862,71.9862
ENCSR142IGM,ENCFF061FMV,HepG2,3xFLAG-CEBPA,52760,0.719826,71.98259999999999
ENCSR000BIY,ENCFF935PCI,Ishikawa,ESR1,16994,0.717253,71.7253
ENCSR000BJS,ENCFF645LGE,T47D,ESR1,6215,0.71601,71.601
ENCSR423RTK,ENCFF909LIE,MCF-7,GATA3,47445,0.715291,71.5291
ENCSR000DOP,ENCFF050IYE,MCF 10A,FOS,100421,0.714472,71.4472
ENCSR237TFX,ENCFF627NBS,HEK293T,CTBP1,5670,0.713933,71.39330000000001
ENCSR000FCC,ENCFF145JGI,K562,NFE2,27444,0.712323,71.23230000000001
ENCSR839SFJ,ENCFF244SJK,bipolar neuron,SMARCA4,40906,0.710091,71.0091
ENCSR121PFY,ENCFF575VHZ,K562,CDC5L,3801,0.70955,70.955
ENCSR000BIJ,ENCFF833PVL,GM12891,SPI1,50231,0.708606,70.86059999999999
ENCSR041AXL,ENCFF951EDR,K562,RFX1,17117,0.707309,70.73089999999999
ENCSR175EOM,ENCFF045KTH,K562,EHMT2,12734,0.707083,70.70830000000001
ENCSR000BMX,ENCFF818HAL,T47D,GATA3,37554,0.706955,70.6955
ENCSR966YYJ,ENCFF896WDG,MCF-7,BMI1,7838,0.705537,70.55369999999999
ENCSR000BNQ,ENCFF372AVL,GM12878,BCL3,12373,0.705407,70.5407
ENCSR000EDX,ENCFF646WOC,HepG2,POLR2AphosphoS2,6350,0.704409,70.4409
ENCSR000BLE,ENCFF704DSK,HepG2,FOXA1,48286,0.704283,70.4283
ENCSR080XEY,ENCFF940TMU,liver,FOXA2,16673,0.703473,70.3473
ENCSR389PWB,ENCFF007LEG,K562,ZBTB5,2252,0.703375,70.33749999999999
ENCSR957LDM,ENCFF857AXB,K562,TRIM24,13851,0.702404,70.24040000000001
ENCSR000BPX,ENCFF204MVK,A549,FOXA1,7041,0.699901,69.9901
ENCSR000EGQ,ENCFF897LDW,K562,NFYB,8473,0.698926,69.8926
ENCSR000BTW,ENCFF996MRE,neural cell,POLR2AphosphoS5,47923,0.697431,69.7431
ENCSR065XVO,ENCFF077WVW,K562,CHAMP1,10332,0.693283,69.3283
ENCSR000BQD,ENCFF138KWB,T47D,ESR1,2885,0.688042,68.80420000000001
ENCSR895HSJ,ENCFF438DWU,K562,SMARCA5,10433,0.687626,68.76259999999999
ENCSR848YWD,ENCFF490ZAJ,HepG2,ZMYM3,8077,0.686393,68.6393
ENCSR028UIU,ENCFF011BHF,K562,ATF3,42385,0.683213,68.3213
ENCSR695EQB,ENCFF535ZFM,K562,ZNF24,22330,0.682356,68.23559999999999
ENCSR231YFE,ENCFF863GMR,MCF-7,ZBTB33,5747,0.681921,68.1921
ENCSR000DMJ,ENCFF551FXB,MCF-7,MYC,9310,0.68174,68.174
ENCSR744WOO,ENCFF619AEN,K562,TCF12,22231,0.680986,68.0986
ENCSR445QRF,ENCFF639EJK,liver,HNF4A,67812,0.680956,68.0956
ENCSR892DRK,ENCFF458FNC,A549,REST,8850,0.679322,67.9322
ENCSR542FLV,ENCFF843GOD,GM12878,ZBTB33,3788,0.677666,67.7666
ENCSR796ITY,ENCFF132TXF,K562,NFIC,46849,0.676706,67.67060000000001
ENCSR427BBI,ENCFF878CYO,MCF-7,MLLT1,2444,0.675123,67.5123
ENCSR000ECK,ENCFF314ZCZ,HeLa-S3,MAFK,11772,0.674822,67.4822
ENCSR571BUF,ENCFF104IIJ,K562,ARHGAP35,2380,0.67437,67.437
ENCSR000BJP,ENCFF633NFW,PFSK-1,REST,6104,0.673984,67.39840000000001
ENCSR000EHB,ENCFF563DQA,K562,TAL1,27099,0.673678,67.3678
ENCSR702BYX,ENCFF979WIC,MCF-7,NFIB,19036,0.671149,67.1149
ENCSR106FRG,ENCFF412EVD,K562,TAL1,22358,0.669738,66.97380000000001
ENCSR099NCH,ENCFF394AJV,K562,ZNF24,23906,0.667657,66.7657
ENCSR197DJH,ENCFF616IRT,MCF-7,SREBF1,7188,0.667223,66.7223
ENCSR699PVC,ENCFF317SWK,K562,CBFA2T2,29906,0.666288,66.6288
ENCSR030TJP,ENCFF326QUT,K562,DACH1,16119,0.66493,66.493
ENCSR349TZO,ENCFF097AKG,K562,NCOA2,2950,0.657966,65.79660000000001
ENCSR277BXW,ENCFF160SNW,MCF-7,ZBTB7B,5601,0.655954,65.5954
ENCSR968GIB,ENCFF667ANE,K562,RFX1,15459,0.65457,65.457
ENCSR372GIN,ENCFF533MFQ,GM12878,CBX5,9054,0.653855,65.3855
ENCSR267DFA,ENCFF594RPH,HepG2,FOXA1,6227,0.650554,65.05539999999999
ENCSR788XNX,ENCFF506SNO,MCF-7,RFX1,14390,0.650382,65.0382
ENCSR000EYB,ENCFF553BNV,SH-SY5Y,GATA2,28301,0.647009,64.70089999999999
ENCSR000BIU,ENCFF770USX,H1-hESC,USF1,29809,0.642021,64.2021
ENCSR327RFM,ENCFF429HYI,HepG2,3xFLAG-PAF1,3595,0.635049,63.5049
ENCSR697YLJ,ENCFF845OPG,K562,CBFA2T3,48804,0.634641,63.4641
ENCSR620DUQ,ENCFF462DNS,MCF-7,CREB1,32777,0.628856,62.8856
ENCSR000BQS,ENCFF854AIH,GM12878,REST,4158,0.622655,62.265499999999996
ENCSR029LBT,ENCFF579HZW,HepG2,FOXP1,6723,0.6213,62.129999999999995
ENCSR085DDI,ENCFF408CMK,K562,NFXL1,3546,0.620417,62.0417
ENCSR882ICT,ENCFF523SBI,HEK293T,ZNF384,14199,0.619058,61.9058
ENCSR000EFM,ENCFF469LVB,IMR-90,CEBPB,75139,0.618108,61.8108
ENCSR000BUW,ENCFF506PIV,HL-60,SPI1,40805,0.615219,61.521899999999995
ENCSR318LVG,ENCFF849TPX,MCF-7,ZBTB40,13630,0.603155,60.3155
ENCSR000EEI,ENCFF396EWL,HepG2,JUND,35863,0.601456,60.1456
ENCSR761LRR,ENCFF850NDA,MCF-7,ZNF512B,3968,0.600302,60.0302
ENCSR843ZUP,ENCFF747GDL,neural cell,EP300,46538,0.595578,59.55780000000001
ENCSR000BPK,ENCFF963WFF,Panc1,REST,1266,0.593997,59.3997
ENCSR488EES,ENCFF525YEM,HepG2,NFE2L2,8320,0.591466,59.14660000000001
ENCSR000EGX,ENCFF216COR,K562,MAFK,20943,0.58855,58.855000000000004
ENCSR233FAG,ENCFF128CQA,HEK293T,PKNOX1,38540,0.587935,58.7935
ENCSR000DYI,ENCFF855UMP,A549,CEBPB,43935,0.586844,58.684400000000004
ENCSR066EBK,ENCFF704DME,HepG2,FOXA2,53368,0.585782,58.5782
ENCSR553QMC,ENCFF948VRJ,HepG2,3xFLAG-ZNF7,6238,0.585284,58.528400000000005
ENCSR315NNL,ENCFF146FGH,K562,CHAMP1,4097,0.581157,58.115700000000004
ENCSR897JAS,ENCFF356LKG,MCF-7,CREB1,34915,0.580438,58.043800000000005
ENCSR000EEE,ENCFF207MUN,HepG2,CEBPB,35232,0.577827,57.7827
ENCSR000EHE,ENCFF196UZE,K562,CEBPB,43673,0.572642,57.264199999999995
ENCSR272JAT,ENCFF525FJA,K562,CBX5,6545,0.572193,57.2193
ENCSR126YEB,ENCFF728TJB,MCF-7,FOXA1,33004,0.571506,57.1506
ENCSR546IHU,ENCFF352VEC,K562,ZNF184,5360,0.563993,56.3993
ENCSR000EVX,ENCFF390BXU,K562,ZNF274,1500,0.558,55.800000000000004
ENCSR000BGF,ENCFF434NOC,GM12878,REST,5304,0.557692,55.7692
ENCSR474CVP,ENCFF580SYA,K562,TRIM28,11139,0.556962,55.6962
ENCSR808AKZ,ENCFF538UZE,K562,BCOR,32790,0.554315,55.4315
ENCSR746XEG,ENCFF467MFZ,GM12878,NFXL1,3842,0.549974,54.9974
ENCSR841YWU,ENCFF385IIC,MCF-7,E4F1,2046,0.548387,54.838699999999996
ENCSR797SWM,ENCFF105CED,K562,MITF,27147,0.54669,54.669000000000004
ENCSR000EBS,ENCFF654TPM,H1-hESC,MAFK,8755,0.54426,54.425999999999995
ENCSR081WLS,ENCFF536UXA,HepG2,RAD51,4070,0.543735,54.3735
ENCSR000EXZ,ENCFF452QMO,SH-SY5Y,GATA3,18622,0.533079,53.3079
ENCSR350XWY,ENCFF825LBQ,K562,C11orf30,48305,0.526053,52.6053
ENCSR000ATW,ENCFF346SWX,K562,CBX8,2134,0.521087,52.1087
ENCSR145TSJ,ENCFF771LVW,K562,ATF4,36483,0.519557,51.95570000000001
ENCSR663WAR,ENCFF278QIG,H1-hESC,REST,5995,0.516097,51.609700000000004
ENCSR000BMN,ENCFF619KDE,HeLa-S3,REST,7426,0.51387,51.38700000000001
ENCSR140DSL,ENCFF641LIZ,HeLa-S3,MAFF,14415,0.513493,51.3493
ENCSR525YFS,ENCFF916LHV,HepG2,ZBTB40,5156,0.509891,50.9891
ENCSR000BHM,ENCFF690IGM,H1-hESC,REST,14669,0.509783,50.9783
ENCSR000BJL,ENCFF757KNN,HepG2,REST,4077,0.507481,50.748099999999994
ENCSR000DYV,ENCFF335NCG,GM12878,MAFK,4251,0.503176,50.3176
ENCSR449UFF,ENCFF293PUF,MCF-7,ZKSCAN1,3481,0.500144,50.0144
ENCSR000BJJ,ENCFF520MMO,SK-N-SH,REST,966,0.494824,49.4824
ENCSR112ALD,ENCFF228LSW,HepG2,CREB1,35666,0.486906,48.6906
ENCSR000EGI,ENCFF003UXM,K562,MAFF,22496,0.476974,47.6974
ENCSR000BTF,ENCFF655MJA,HL-60,REST,6456,0.476301,47.6301
ENCSR528PSI,ENCFF659XDV,HepG2,3xFLAG-HLF,65043,0.467429,46.7429
ENCSR866QPZ,ENCFF201SRD,MCF-7,ATF7,17929,0.465447,46.5447
ENCSR000EFH,ENCFF046FNS,IMR-90,MAFK,44103,0.465411,46.5411
ENCSR582ZOA,ENCFF743EQV,MCF-7,NFIB,16221,0.465261,46.5261
ENCSR820GND,ENCFF966CGZ,K562,RNF2,5120,0.454883,45.488299999999995
ENCSR869IUD,ENCFF207FUE,K562,ATF2,33005,0.440024,44.0024
ENCSR261EDU,ENCFF498PHD,HepG2,MNT,29252,0.4345,43.45
ENCSR555PBN,ENCFF821RYS,MCF-7,MAFK,9665,0.430626,43.0626
ENCSR686SOV,ENCFF543JCS,MCF-7,NCOA3,2212,0.429024,42.9024
ENCSR109ODF,ENCFF184JNY,MCF-7,HES1,3136,0.411033,41.1033
ENCSR702GMW,ENCFF629FBV,PC-9,EZH2phosphoT487,3557,0.407928,40.7928
ENCSR541WQI,ENCFF470INQ,A549,MAFK,55998,0.402282,40.228199999999994
ENCSR876GXA,ENCFF909FRB,K562,ZBTB33,48313,0.392669,39.2669
ENCSR597VGC,ENCFF979BQI,GM12878,ETV6,2907,0.392501,39.250099999999996
ENCSR167KBO,ENCFF195JOB,K562,ZNF316,62317,0.383892,38.3892
ENCSR000ATC,ENCFF248NPI,HeLa-S3,EZH2,2963,0.37327,37.327
ENCSR000EEC,ENCFF273IOC,HepG2,MAFF,41248,0.367703,36.7703
ENCSR102KIN,ENCFF429TTF,K562,ZMYM3,34405,0.362854,36.2854
ENCSR200JYP,ENCFF647FMI,K562,ZNF316,13115,0.34045,34.044999999999995
ENCSR545FXC,ENCFF793VQT,HepG2,ATF7,29847,0.327671,32.7671
ENCSR961PPA,ENCFF409WNF,GM12878,ATF2,13817,0.294782,29.478199999999998
ENCSR000EEB,ENCFF632THJ,HepG2,MAFK,69197,0.28744,28.743999999999996
ENCSR000EVY,ENCFF821JKR,K562,TRIM28,4883,0.287323,28.7323
ENCSR370NFS,ENCFF705FAV,K562,ZNF280A,4502,0.274989,27.4989
ENCSR047BUZ,ENCFF737KKO,HepG2,ATF2,40248,0.250969,25.096899999999998
ENCSR000EWY,ENCFF414OZX,NT2/D1,ZNF274,1249,0.241793,24.1793
ENCSR000EUN,ENCFF239NXT,H1-hESC,ZNF274,1003,0.240279,24.0279
ENCSR000EUI,ENCFF897HDW,GM08714,ZNF274,918,0.205882,20.5882
