experiment_accession,peak_accession,biosample,target,n_peaks,authors_overlap_fraction,authors_percent_overlap
ENCSR000DQD,ENCFF252QZC,BE2C,CTCF,52725,0.92954,92.95400000000001
ENCSR000DPA,ENCFF489RYB,MCF 10A,POLR2A,34272,0.929272,92.9272
ENCSR000BII,ENCFF680HDE,GM12891,POU2F2,18170,0.928784,92.8784
ENCSR888XZK,ENCFF749WKK,K562,TCF7L2,1750,0.928571,92.8571
ENCSR588AKU,ENCFF049YPY,K562,RUNX1,3150,0.928571,92.8571
ENCSR269TNX,ENCFF926MTA,HepG2,3xFLAG-GABPA,24570,0.928409,92.8409
ENCSR278SQL,ENCFF400GKD,GM12878,NBN,38110,0.928182,92.81819999999999
ENCSR000DZS,ENCFF003ZGU,GM12878,BRCA1,569,0.927944,92.7944
ENCSR608XTF,ENCFF389LKZ,K562,RNF2,3469,0.927933,92.7933
ENCSR000FCB,ENCFF830UEH,K562,MITF,6806,0.927711,92.77109999999999
ENCSR000FAX,ENCFF716CWM,K562,POLR2A,17985,0.927606,92.76060000000001
ENCSR000EIA,ENCFF030DAG,SK-N-SH,MXI1,31556,0.926797,92.6797
ENCSR000EUV,ENCFF736EVD,HCT116,TCF7L2,15431,0.926188,92.61880000000001
ENCSR512NLO,ENCFF119EPK,K562,MNT,25698,0.926142,92.6142
ENCSR031TFS,ENCFF909KNE,K562,POLR2A,23730,0.925874,92.5874
ENCSR125NBL,ENCFF102XIH,neural progenitor cell,CTCF,59122,0.925307,92.5307
ENCSR445ACU,ENCFF319FBU,HepG2,SOX13,6745,0.925278,92.5278
ENCSR000BIR,ENCFF695XRW,H1-hESC,SP1,18186,0.925217,92.5217
ENCSR000BGK,ENCFF483RLR,HepG2,JUND,24931,0.925153,92.5153
ENCSR000EAA,ENCFF679UWZ,GM12878,WRNIP1,7620,0.925066,92.5066
ENCSR000DTO,ENCFF850PKJ,HCT116,CTCF,49581,0.925032,92.50319999999999
ENCSR119VCX,ENCFF552BXT,K562,PHF21A,4621,0.924692,92.4692
ENCSR770AOR,ENCFF503PQW,HepG2,3xFLAG-ELF3,39603,0.924576,92.4576
ENCSR000DXW,ENCFF505BGP,WERI-Rb-1,CTCF,52232,0.924184,92.4184
ENCSR959OMS,ENCFF189NTN,HepG2,3xFLAG-SAP130,66063,0.924133,92.41329999999999
ENCSR988ZSI,ENCFF793YUM,HepG2,3xFLAG-RERE,11740,0.924106,92.4106
ENCSR000BPA,ENCFF034KAQ,SK-N-SH,POLR2AphosphoS5,26120,0.924081,92.4081
ENCSR859FDL,ENCFF012XLD,GM12878,ZNF687,28654,0.923257,92.3257
ENCSR706YUH,ENCFF815RKD,GM12878,SMARCA5,20258,0.923191,92.31909999999999
ENCSR042TWZ,ENCFF129XCG,MCF-7,SNIP1,2200,0.922727,92.2727
ENCSR000DYS,ENCFF330LVI,GM12878,JUND,6987,0.922427,92.2427
ENCSR000BIE,ENCFF252PLM,HepG2,CTCF,51979,0.922142,92.2142
ENCSR000EBZ,ENCFF446WOD,H1-hESC,JUND,11425,0.922013,92.2013
ENCSR000DZD,ENCFF696CNS,GM12878,EP300,13488,0.921263,92.1263
ENCSR931HNY,ENCFF371FZO,K562,NCOA1,9164,0.921213,92.12129999999999
ENCSR949NVY,ENCFF208AKZ,K562,ZNF639,11780,0.921053,92.1053
ENCSR899BKM,ENCFF327FRU,MCF-7,ZNF687,15898,0.920996,92.09960000000001
ENCSR000BML,ENCFF934KIL,HCT116,POLR2AphosphoS5,36786,0.920975,92.0975
ENCSR155VDK,ENCFF373WRI,MCF-7,ZBTB11,2073,0.920888,92.0888
ENCSR000BMG,ENCFF190SJX,K562,HDAC2,5453,0.920778,92.0778
ENCSR054FKH,ENCFF851IPG,HepG2,3xFLAG-RAD21,61829,0.920765,92.0765
ENCSR177XCS,ENCFF313PGK,K562,BRD9,12642,0.92074,92.074
ENCSR000FCD,ENCFF548ITQ,K562,SMAD5,16594,0.920694,92.0694
ENCSR000FAY,ENCFF432VIV,K562,POLR2A,18169,0.920634,92.0634
ENCSR100UQX,ENCFF449ZBD,K562,TAF9B,15399,0.920579,92.0579
ENCSR839XZU,ENCFF035AJG,GM12878,CREM,28601,0.920492,92.0492
ENCSR000BGB,ENCFF085CNS,SK-N-MC,FOXP2,9497,0.920291,92.0291
ENCSR638QYO,ENCFF496COS,A549,SREBF2,612,0.919935,91.9935
ENCSR000BLS,ENCFF671FGG,HepG2,RAD21,54138,0.919871,91.9871
ENCSR000BKI,ENCFF222TUO,Ishikawa,POLR2A,24962,0.919518,91.95179999999999
ENCSR352BJL,ENCFF772WLM,K562,ZNF318,8025,0.918255,91.8255
ENCSR795IYP,ENCFF529CTW,K562,JUNB,3272,0.918093,91.80930000000001
ENCSR000BJI,ENCFF300QIO,GM12892,PAX5,4862,0.917935,91.7935
ENCSR626VUC,ENCFF269LTR,GM12878,ETV6,14941,0.917743,91.7743
ENCSR124BJR,ENCFF569AQR,K562,ETV6,1464,0.91735,91.735
ENCSR290ZOS,ENCFF592GSR,liver,EGR1,7386,0.917276,91.7276
ENCSR633OVO,ENCFF016NUM,HepG2,3xFLAG-RFX3,6178,0.91664,91.664
ENCSR669NFS,ENCFF108FQP,K562,ARNT,3069,0.916585,91.6585
ENCSR419KSZ,ENCFF746PIJ,HepG2,NCOR1,15077,0.916363,91.6363
ENCSR586DEH,ENCFF300FSQ,HepG2,3xFLAG-ZFP1,12403,0.916149,91.6149
ENCSR064LJN,ENCFF195SHB,A549,RFX5,3896,0.916068,91.60679999999999
ENCSR000BNW,ENCFF593FWV,K562,SIX5,2126,0.915334,91.5334
ENCSR784VIQ,ENCFF035BOY,GM12878,NR2C1,8984,0.915294,91.52940000000001
ENCSR124AIG,ENCFF847XXR,IMR-90,FOS,31927,0.915025,91.5025
ENCSR754MUD,ENCFF344JCK,HepG2,SKI,27888,0.914981,91.49810000000001
ENCSR000EGH,ENCFF318SAW,K562,JUN,9055,0.914964,91.4964
ENCSR201NQZ,ENCFF805RSY,K562,CTBP1,33954,0.914649,91.4649
ENCSR000EGM,ENCFF041ODC,K562,CTCF,54699,0.914386,91.43860000000001
ENCSR000BMI,ENCFF393NBO,GM12878,SRF,9798,0.914064,91.4064
ENCSR778UBR,ENCFF829MGY,GM12878,ARID3A,15041,0.913902,91.3902
ENCSR103SZL,ENCFF696VDG,HepG2,TFAP4,15524,0.913811,91.3811
ENCSR928KOR,ENCFF058FJN,K562,GMEB1,24368,0.913739,91.37389999999999
ENCSR000BHJ,ENCFF259SNF,GM12878,PAX5,20151,0.913702,91.3702
ENCSR331GDC,ENCFF059AZP,K562,ZBTB11,6255,0.913669,91.3669
ENCSR038GMB,ENCFF997IFW,liver,GABPA,18705,0.913178,91.3178
ENCSR000FAW,ENCFF857WHF,K562,POLR2A,21834,0.912934,91.2934
ENCSR000BMV,ENCFF503LMD,K562,FOSL1,6289,0.912546,91.2546
ENCSR000BGE,ENCFF012LEV,GM12878,SRF,2835,0.912522,91.2522
ENCSR077DKV,ENCFF159OAX,K562,CREM,37448,0.912385,91.2385
ENCSR509FWH,ENCFF733BVX,GM12878,DPF2,38570,0.912367,91.2367
ENCSR176EXN,ENCFF907IUT,MCF-7,JUN,4574,0.912112,91.2112
ENCSR179SAO,ENCFF528EBQ,A673,EZH2,5503,0.911685,91.1685
ENCSR000EHP,ENCFF365NCW,K562,POLR2A,20413,0.911527,91.1527
ENCSR000DZV,ENCFF039SJV,GM12878,STAT3,4927,0.911508,91.1508
ENCSR635EXI,ENCFF529AJE,K562,ZSCAN29,3838,0.911412,91.1412
ENCSR000BJW,ENCFF322AYC,H1-hESC,RXRA,1490,0.910738,91.0738
ENCSR638QHV,ENCFF136UPB,K562,ELF4,17581,0.910187,91.0187
ENCSR731LHZ,ENCFF233MGP,K562,E4F1,26074,0.90991,90.991
ENCSR000BQZ,ENCFF470LBM,GM12878,STAT5A,10415,0.90965,90.96499999999999
ENCSR508DQA,ENCFF606WYG,K562,FOXK2,20039,0.909526,90.95259999999999
ENCSR000DZK,ENCFF156EYN,GM12878,POLR2AphosphoS2,11405,0.90925,90.925
ENCSR494TDU,ENCFF460GYT,K562,NRF1,28727,0.909075,90.9075
ENCSR000EDT,ENCFF973QOP,HepG2,BHLHE40,17557,0.908811,90.8811
ENCSR000BGO,ENCFF636PWI,HeLa-S3,POLR2A,33776,0.908663,90.8663
ENCSR171CAY,ENCFF910WWV,K562,E2F7,2412,0.908375,90.8375
ENCSR707IUN,ENCFF561CJL,HeLa-S3,NFE2L2,4834,0.908151,90.8151
ENCSR000EFS,ENCFF905NMP,K562,JUN,17916,0.908071,90.80709999999999
ENCSR033NQK,ENCFF696WVL,K562,ZNF830,2227,0.907948,90.7948
ENCSR241LIH,ENCFF954QSX,K562,AFF1,6910,0.907815,90.78150000000001
ENCSR000FCE,ENCFF452INW,K562,ETV6,4830,0.907453,90.7453
ENCSR656MXA,ENCFF188DPS,neural progenitor cell,EZH2phosphoT487,21367,0.907427,90.7427
ENCSR160QYK,ENCFF407WIN,K562,GATAD2A,11025,0.907302,90.73020000000001
ENCSR000BND,ENCFF264KYF,GM12878,ZEB1,4395,0.90694,90.694
ENCSR657EOF,ENCFF594KPG,K562,NFRKB,19411,0.906805,90.6805
ENCSR000BKD,ENCFF183HLJ,H1-hESC,YY1,21008,0.906797,90.6797
ENCSR414TYY,ENCFF264QLP,K562,RUNX1,3182,0.906662,90.6662
ENCSR199WXF,ENCFF041QPS,GM12878,EED,35897,0.906482,90.6482
ENCSR000EHJ,ENCFF122XOC,K562,STAT1,2427,0.906469,90.6469
ENCSR000EEA,ENCFF773COA,HepG2,RFX5,6680,0.906287,90.6287
